null,null,null,null,null,null,null,Latitude,Longitude,Thrust,null
1,0,16,0,0,0,0,-15.501923,28.695877,0,1
0,0,22,0,0,0,0,-15.501923,28.695877,100,1
0,0,16,0,0,0,0,-15.50138801,28.69637277,100,1
0,0,16,0,0,0,0,-15.50136384,28.69747123,100,1
0,0,16,0,0,0,0,-15.5014093,28.697459,100,1
0,0,16,0,0,0,0,-15.50143223,28.696417,100,1
0,0,16,0,0,0,0,-15.50147646,28.69646122,100,1
0,0,16,0,0,0,0,-15.50145477,28.69744678,100,1
0,0,16,0,0,0,0,-15.50150024,28.69743455,100,1
0,0,16,0,0,0,0,-15.50152068,28.69650544,100,1
0,0,16,0,0,0,0,-15.50156491,28.69654967,100,1
0,0,16,0,0,0,0,-15.5015457,28.69742233,100,1
0,0,16,0,0,0,0,-15.50159117,28.6974101,100,1
0,0,16,0,0,0,0,-15.50160834,28.6966301,100,1
0,0,16,0,0,0,0,-15.50165111,28.69674038,100,1
0,0,16,0,0,0,0,-15.50163664,28.69739788,100,1
0,0,16,0,0,0,0,-15.5016821,28.69738565,100,1
0,0,16,0,0,0,0,-15.50169388,28.69685067,100,1
0,0,16,0,0,0,0,-15.50173665,28.69696096,100,1
0,0,16,0,0,0,0,-15.50172757,28.69737343,100,1
0,0,16,0,0,0,0,-15.50177304,28.6973612,100,1
0,0,16,0,0,0,0,-15.50177942,28.69707125,100,1
0,0,16,0,0,0,0,-15.50182219,28.69718154,100,1
0,0,16,0,0,0,0,-15.5018185,28.69734898,100,1
0,0,16,0,0,0,0,-15.50186397,28.69733675,100,1
0,0,16,0,0,0,0,-15.50186496,28.69729182,100,1
0,0,16,0,0,0,0,-15.50189012,28.69706803,100,1
0,0,16,0,0,0,0,-15.50185996,28.69700577,100,1
0,0,16,0,0,0,0,-15.50185108,28.69688316,100,1
0,0,16,0,0,0,0,-15.50193251,28.69705125,100,1
0,0,16,0,0,0,0,-15.50197489,28.69703448,100,1
0,0,16,0,0,0,0,-15.50189312,28.69686568,100,1
0,0,16,0,0,0,0,-15.50193516,28.69684819,100,1
0,0,16,0,0,0,0,-15.50201728,28.69701771,100,1
0,0,16,0,0,0,0,-15.50205966,28.69700093,100,1
0,0,16,0,0,0,0,-15.5019772,28.69683071,100,1
0,0,16,0,0,0,0,-15.50201925,28.69681323,100,1
0,0,16,0,0,0,0,-15.50210205,28.69698416,100,1
0,0,16,0,0,0,0,-15.50214443,28.69696739,100,1
0,0,16,0,0,0,0,-15.50206129,28.69679574,100,1
0,0,16,0,0,0,0,-15.50210333,28.69677826,100,1
0,0,16,0,0,0,0,-15.50218682,28.69695061,100,1
0,0,16,0,0,0,0,-15.50222921,28.69693384,100,1
0,0,16,0,0,0,0,-15.50214537,28.69676077,100,1
0,0,16,0,0,0,0,-15.50218741,28.69674329,100,1
0,0,16,0,0,0,0,-15.50227159,28.69691707,100,1
0,0,16,0,0,0,0,-15.50231398,28.69690029,100,1
0,0,16,0,0,0,0,-15.50222945,28.69672581,100,1
0,0,16,0,0,0,0,-15.50227149,28.69670832,100,1
0,0,16,0,0,0,0,-15.50235636,28.69688352,100,1
0,0,16,0,0,0,0,-15.50239875,28.69686674,100,1
0,0,16,0,0,0,0,-15.50231354,28.69669084,100,1
0,0,16,0,0,0,0,-15.50235558,28.69667335,100,1
0,0,16,0,0,0,0,-15.50244113,28.69684997,100,1
0,0,16,0,0,0,0,-15.50248352,28.6968332,100,1
0,0,16,0,0,0,0,-15.50200448,28.69584429,100,1
0,0,16,0,0,0,0,-15.50204778,28.6958294,100,1
0,0,16,0,0,0,0,-15.5025259,28.69681642,100,1
0,0,16,0,0,0,0,-15.50252082,28.69670165,100,1
0,0,16,0,0,0,0,-15.50209107,28.69581451,100,1
0,0,16,0,0,0,0,-15.50213437,28.69579962,100,1
0,0,16,0,0,0,0,-15.50253855,28.69663399,100,1
0,0,21,0,0,0,0,-15.501923,28.695877,0,1
